method;Replicate number;id_sample;gradient;alti;INat;abundance;stade;state;sexe;mass;referential;canonic;id;rankName;referenceName;familyName;orderName;className;phylumName
barber;5;ANI-21-0886;TAN;1420;0;1;ad;NA;male;0.09;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0886;TAN;1420;0;1;NA;NA;female;0.0274;taxref;Tachypodoiulus niger;227676;Espece;Tachypodoiulus niger (Leach, 1814);Julidae;Julida;Diplopoda;Arthropoda
barber;5;ANI-21-0897;TAN;1700;0;1;ad;NA;female;NA;taxref;Cryphoeca silvicola;1863;Espece;Cryphoeca silvicola (C.L. Koch, 1834);Cybaeidae;Araneae;Arachnida;Arthropoda
barber;5;ANI-21-0897;TAN;1700;0;1;NA;NA;female;0.1274;taxref;Cylindroiulus broti;227622;Espece;Cylindroiulus broti (Humbert, 1893);Julidae;Julida;Diplopoda;Arthropoda
barber;5;ANI-21-0897;TAN;1700;0;1;juv;NA;male;0.0507;taxref;Cylindroiulus broti;227622;Espece;Cylindroiulus broti (Humbert, 1893);Julidae;Julida;Diplopoda;Arthropoda
barber;5;ANI-21-0897;TAN;1700;0;2;ad;NA;male;NA;gbif;NA;2138442;Espece;Formiphantes lephthyphantiformis (Strand, 1907);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;5;ANI-21-0897;TAN;1700;0;2;NA;NA;NA;NA;taxref;Lacinius ephippiatus;337298;Espece;Lacinius ephippiatus (C.L.Koch, 1835);Phalangiidae;Opiliones;Arachnida;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;NA;NA;female;0.0104;taxref;Cylindroiulus zinalensis;1003418;Espece;Cylindroiulus zinalensis (Faës, 1902);Julidae;Julida;Diplopoda;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;male;NA;taxref;Gonatium rubellum;233580;Espece;Gonatium rubellum (Blackwall, 1841);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;female;0.03;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;female;0.046;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;female;0.054;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;female;0.062;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;female;0.07;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;female;0.075;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;female;0.085;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;female;0.093;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;female;0.098;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;male;NA;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;male;0.029;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;male;0.033;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;male;0.049;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;male;0.063;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;male;0.064;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;male;0.065;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;male;0.067;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;male;0.068;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;male;0.069;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;male;0.07;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0908;TAN;1890;0;1;ad;NA;male;0.074;taxref;Pterostichus externepunctatus;9114;Espece;Pterostichus externepunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0919;TAN;2100;0;1;ad;NA;male;NA;taxref;Centromerus pabulator;233498;Espece;Centromerus pabulator (O. Pickard-Cambridge, 1875);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;5;ANI-21-0919;TAN;2100;0;1;ad;NA;female;NA;taxref;Tenuiphantes zimmermanni;233788;Espece;Tenuiphantes zimmermanni (Bertkau, 1890);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;5;ANI-21-0919;TAN;2100;0;1;ad;NA;male;NA;taxref;Tenuiphantes zimmermanni;233788;Espece;Tenuiphantes zimmermanni (Bertkau, 1890);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;5;ANI-21-0952;VCHA;1910;0;1;ad;NA;female;NA;taxref;Alopecosa barbipes;233868;Espece;Alopecosa barbipes (Sundevall, 1833);Lycosidae;Araneae;Arachnida;Arthropoda
barber;5;ANI-21-0952;VCHA;1910;0;NA;NA;NA;unidentified;NA;taxref;Astrobunus bernardinus;337338;Espece;Astrobunus bernardinus Simon, 1879;Phalangiidae;Opiliones;Arachnida;Arthropoda
barber;5;ANI-21-0963;VCHA;2150;0;1;ad;NA;male;0.021;taxref;Calathus micropterus;222357;Espece;Calathus micropterus (Duftschmid, 1812);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0963;VCHA;2150;0;1;ad;NA;female;0.003;taxref;Notiophilus biguttatus;8526;Espece;Notiophilus biguttatus (Fabricius, 1779);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0963;VCHA;2150;0;1;ad;NA;female;0.005;taxref;Notiophilus biguttatus;8526;Espece;Notiophilus biguttatus (Fabricius, 1779);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0963;VCHA;2150;0;1;ad;NA;male;0.001;taxref;Notiophilus biguttatus;8526;Espece;Notiophilus biguttatus (Fabricius, 1779);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0963;VCHA;2150;0;1;ad;NA;male;0.002;taxref;Notiophilus biguttatus;8526;Espece;Notiophilus biguttatus (Fabricius, 1779);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0963;VCHA;2150;0;1;ad;NA;male;0.004;taxref;Notiophilus biguttatus;8526;Espece;Notiophilus biguttatus (Fabricius, 1779);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0963;VCHA;2150;0;1;ad;NA;male;0.005;taxref;Notiophilus biguttatus;8526;Espece;Notiophilus biguttatus (Fabricius, 1779);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0963;VCHA;2150;0;1;ad;NA;male;NA;taxref;Pterostichus morio;9119;Espece;Pterostichus morio (Ziegler in Duftschmid, 1812);Carabidae;Coleoptera;Insecta;Arthropoda
barber;5;ANI-21-0985;VCHA;2510;0;1;ad;NA;male;NA;taxref;Diplocephalus helleri;233528;Espece;Diplocephalus helleri (L. Koch, 1869);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;5;ANI-21-0996;VCHA;2760;0;2;ad;NA;male;NA;taxref;Bolyphantes alticeps;233478;Espece;Bolyphantes alticeps (Sundevall, 1833);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;5;ANI-21-0996;VCHA;2760;0;1;ad;NA;male;NA;taxref;Centromerus sellarius;233501;Espece;Centromerus sellarius (Simon, 1884);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;5;ANI-21-0996;VCHA;2760;0;2;NA;NA;NA;NA;taxref;Lacinius dentiger;337297;Espece;Odiellus granulatus (Canestrini, 1872);Phalangiidae;Opiliones;Arachnida;Arthropoda
barber;5;ANI-21-0996;VCHA;2760;0;2;ad;NA;female;NA;taxref;Pardosa lugubris;1930;Espece;Pardosa lugubris (Walckenaer, 1802);Lycosidae;Araneae;Arachnida;Arthropoda
barber;5;ANI-21-0996;VCHA;2760;0;1;ad;NA;male;NA;taxref;Tenuiphantes mengei;233783;Espece;Tenuiphantes mengei (Kulczynski, 1887);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;5;ANI-21-0996;VCHA;2760;0;1;ad;NA;female;NA;taxref;Trochosa robusta;457346;Espece;Trochosa robusta (Simon, 1876);Lycosidae;Araneae;Arachnida;Arthropoda
barber;5;ANI-22-0258;VTN;1130;0;1;ad;NA;female;NA;taxref;Carabus nemoralis;8410;Espece;Carabus nemoralis O.F. Müller, 1764;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0546;ARG;1420;0;1;ad;NA;female;NA;taxref;Tenuiphantes tenebricola;233786;Espece;Tenuiphantes tenebricola (Wider, 1834);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0557;ARG;1620;0;2;ad;NA;female;0.013;taxref;Calathus micropterus;222357;Espece;Calathus micropterus (Duftschmid, 1812);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0557;ARG;1620;0;1;ad;NA;male;NA;taxref;Harpactocrates drassoides;1157;Espece;Harpactocrates drassoides (Simon, 1882);Dysderidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0557;ARG;1620;0;2;ad;NA;female;NA;taxref;Harpactocrates drassoides;1157;Espece;Harpactocrates drassoides (Simon, 1882);Dysderidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0568;ARG;1790;0;2;ad;NA;female;NA;taxref;Coelotes terrestris;1846;Espece;Coelotes terrestris (Wider, 1834);Agelenidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0568;ARG;1790;0;2;ad;NA;male;NA;taxref;Coelotes terrestris;1846;Espece;Coelotes terrestris (Wider, 1834);Agelenidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0568;ARG;1790;0;1;ad;NA;female;0.033;taxref;Pterostichus multipunctatus;222602;Espece;Pterostichus multipunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0568;ARG;1790;0;1;ad;NA;female;0.048;taxref;Pterostichus multipunctatus;222602;Espece;Pterostichus multipunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0568;ARG;1790;0;1;ad;NA;female;0.053;taxref;Pterostichus multipunctatus;222602;Espece;Pterostichus multipunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0568;ARG;1790;0;1;ad;NA;female;0.058;taxref;Pterostichus multipunctatus;222602;Espece;Pterostichus multipunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0568;ARG;1790;0;1;ad;NA;female;0.089;taxref;Pterostichus multipunctatus;222602;Espece;Pterostichus multipunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0568;ARG;1790;0;1;ad;NA;female;0.099;taxref;Pterostichus multipunctatus;222602;Espece;Pterostichus multipunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0568;ARG;1790;0;1;ad;NA;male;0.041;taxref;Pterostichus multipunctatus;222602;Espece;Pterostichus multipunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0568;ARG;1790;0;1;ad;NA;male;0.043;taxref;Pterostichus multipunctatus;222602;Espece;Pterostichus multipunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0568;ARG;1790;0;1;ad;NA;male;0.051;taxref;Pterostichus multipunctatus;222602;Espece;Pterostichus multipunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0568;ARG;1790;0;1;NA;NA;female;0.1661;taxref;Tachypodoiulus niger;227676;Espece;Tachypodoiulus niger (Leach, 1814);Julidae;Julida;Diplopoda;Arthropoda
barber;6;ANI-21-0579;ARG;2000;0;1;ad;NA;male;NA;taxref;Centromerus pabulator;233498;Espece;Centromerus pabulator (O. Pickard-Cambridge, 1875);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0601;ARG;2400;0;1;ad;NA;female;NA;taxref;Platyderus depressus;222352;Espece;Platyderus depressus (Audinet-Serville, 1821);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0601;ARG;2400;0;5;ad;NA;male;NA;taxref;Pterostichus multipunctatus;222602;Espece;Pterostichus multipunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0601;ARG;2400;0;9;ad;NA;female;NA;taxref;Pterostichus multipunctatus;222602;Espece;Pterostichus multipunctatus (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0612;BOU;1240;0;1;ad;NA;male;0.325;taxref;Abax parallelepipedus;222607;Espece;Abax parallelepipedus (Piller & Mitterpacher, 1783);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0612;BOU;1240;0;1;ad;NA;female;0.449;taxref;Carabus problematicus;8428;Espece;Carabus problematicus Herbst, 1786;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0612;BOU;1240;0;1;ad;NA;female;0.457;taxref;Carabus problematicus;8428;Espece;Carabus problematicus Herbst, 1786;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0612;BOU;1240;0;1;ad;NA;female;0.498;taxref;Carabus problematicus;8428;Espece;Carabus problematicus Herbst, 1786;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0612;BOU;1240;0;1;ad;NA;male;0.399;taxref;Carabus problematicus;8428;Espece;Carabus problematicus Herbst, 1786;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0612;BOU;1240;0;1;ad;NA;male;0.435;taxref;Carabus problematicus;8428;Espece;Carabus problematicus Herbst, 1786;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0612;BOU;1240;0;1;ad;NA;male;0.05;taxref;Molops piceus;9165;Espece;Molops piceus (Panzer, 1793);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0612;BOU;1240;0;1;ad;NA;female;0.092;taxref;Pterostichus burmeisteri;222582;Espece;Pterostichus burmeisteri Heer, 1838;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0612;BOU;1240;0;1;ad;NA;female;0.094;taxref;Pterostichus burmeisteri;222582;Espece;Pterostichus burmeisteri Heer, 1838;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0612;BOU;1240;0;1;ad;NA;male;0.077;taxref;Pterostichus burmeisteri;222582;Espece;Pterostichus burmeisteri Heer, 1838;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0612;BOU;1240;0;1;ad;NA;male;0.099;taxref;Pterostichus burmeisteri;222582;Espece;Pterostichus burmeisteri Heer, 1838;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0612;BOU;1240;0;1;ad;NA;male;NA;taxref;Robertus lividus;1335;Espece;Robertus lividus (Blackwall, 1836);Theridiidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0623;BOU;1440;0;1;ad;NA;female;NA;taxref;Caracladus leberti;233486;Espece;Caracladus leberti (Roewer, 1942);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0623;BOU;1440;0;1;ad;NA;female;NA;taxref;Coelotes terrestris;1846;Espece;Coelotes terrestris (Wider, 1834);Agelenidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0623;BOU;1440;0;1;ad;NA;female;0.136;taxref;Pterostichus burmeisteri;222582;Espece;Pterostichus burmeisteri Heer, 1838;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0623;BOU;1440;0;1;ad;NA;male;0.068;taxref;Pterostichus burmeisteri;222582;Espece;Pterostichus burmeisteri Heer, 1838;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0623;BOU;1440;0;1;ad;NA;male;0.108;taxref;Pterostichus burmeisteri;222582;Espece;Pterostichus burmeisteri Heer, 1838;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0634;BOU;1620;0;1;ad;NA;female;0.393;taxref;Carabus intricatus;8395;Espece;Carabus intricatus Linnaeus, 1761;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0634;BOU;1620;0;1;ad;NA;female;0.438;taxref;Carabus intricatus;8395;Espece;Carabus intricatus Linnaeus, 1761;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0634;BOU;1620;0;1;ad;NA;female;0.504;taxref;Carabus intricatus;8395;Espece;Carabus intricatus Linnaeus, 1761;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0634;BOU;1620;0;1;ad;NA;female;0.526;taxref;Carabus intricatus;8395;Espece;Carabus intricatus Linnaeus, 1761;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0634;BOU;1620;0;1;ad;NA;male;0.246;taxref;Carabus intricatus;8395;Espece;Carabus intricatus Linnaeus, 1761;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0634;BOU;1620;0;1;ad;NA;male;0.292;taxref;Carabus intricatus;8395;Espece;Carabus intricatus Linnaeus, 1761;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0634;BOU;1620;0;1;ad;NA;male;0.341;taxref;Carabus intricatus;8395;Espece;Carabus intricatus Linnaeus, 1761;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0634;BOU;1620;0;1;ad;NA;male;0.351;taxref;Carabus intricatus;8395;Espece;Carabus intricatus Linnaeus, 1761;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0634;BOU;1620;0;1;ad;NA;male;0.361;taxref;Carabus intricatus;8395;Espece;Carabus intricatus Linnaeus, 1761;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0634;BOU;1620;0;1;ad;NA;male;0.395;taxref;Carabus intricatus;8395;Espece;Carabus intricatus Linnaeus, 1761;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0634;BOU;1620;0;1;ad;NA;male;0.426;taxref;Carabus intricatus;8395;Espece;Carabus intricatus Linnaeus, 1761;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0634;BOU;1620;0;1;ad;NA;male;0.481;taxref;Carabus intricatus;8395;Espece;Carabus intricatus Linnaeus, 1761;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0667;CAU;1220;0;2;ad;NA;male;NA;taxref;Centromerus sellarius;233501;Espece;Centromerus sellarius (Simon, 1884);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0678;CAU;1400;0;3;ad;NA;male;NA;taxref;Centromerus sellarius;233501;Espece;Centromerus sellarius (Simon, 1884);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0678;CAU;1400;0;1;ad;NA;male;NA;taxref;Microneta viaria;233668;Espece;Microneta viaria (Blackwall, 1841);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0678;CAU;1400;0;1;ad;NA;male;NA;taxref;Monocephalus castaneipes;233674;Espece;Monocephalus castaneipes (Simon, 1884);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0678;CAU;1400;0;1;ad;NA;female;NA;taxref;Monocephalus fuscipes;233675;Espece;Monocephalus fuscipes (Blackwall, 1836);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0689;CAU;1630;0;1;ad;NA;female;0.005;taxref;Pterostichus infimus;222575;Espece;Pterostichus infimus (Chaudoir, 1868);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0689;CAU;1630;0;1;ad;NA;female;NA;taxref;Tenuiphantes mengei;233783;Espece;Tenuiphantes mengei (Kulczynski, 1887);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0689;CAU;1630;0;2;ad;NA;male;NA;taxref;Tenuiphantes mengei;233783;Espece;Tenuiphantes mengei (Kulczynski, 1887);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0700;CAU;1800;0;1;ad;NA;female;NA;taxref;Haplodrassus concertor;233341;Espece;Haplodrassus concertor (Simon, 1878);Gnaphosidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0700;CAU;1800;0;1;ad;NA;male;NA;taxref;Tenuiphantes zimmermanni;233788;Espece;Tenuiphantes zimmermanni (Bertkau, 1890);Linyphiidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0722;CAU;2225;0;1;ad;NA;female;0.011;taxref;Calathus melanocephalus;8784;Espece;Calathus melanocephalus (Linnaeus, 1758);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0722;CAU;2225;0;1;ad;NA;female;NA;taxref;Haplodrassus concertor;233341;Espece;Haplodrassus concertor (Simon, 1878);Gnaphosidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0722;CAU;2225;0;1;ad;NA;female;NA;taxref;Zelotes aeneus;302972;Espece;Zelotes aeneus (Simon, 1878);Gnaphosidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0744;CAU;2650;0;1;ad;NA;female;0.037;taxref;Pterostichus abaxoides;222563;Espece;Pterostichus abaxoides (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0744;CAU;2650;0;1;ad;NA;male;0.017;taxref;Pterostichus abaxoides;222563;Espece;Pterostichus abaxoides (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0744;CAU;2650;0;1;ad;NA;male;0.024;taxref;Pterostichus abaxoides;222563;Espece;Pterostichus abaxoides (Dejean, 1828);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0755;MOU;1810;0;1;ad;NA;male;NA;taxref;Amaurobius scopolii;233194;Espece;Amaurobius scopolii Thorell, 1871;Amaurobiidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0755;MOU;1810;0;1;ad;NA;female;0.067;taxref;Calathus fuscipes;8782;Espece;Calathus fuscipes (Goeze, 1777);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0755;MOU;1810;0;1;ad;NA;female;0.079;taxref;Calathus fuscipes;8782;Espece;Calathus fuscipes (Goeze, 1777);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0755;MOU;1810;0;1;ad;NA;female;0.088;taxref;Calathus fuscipes;8782;Espece;Calathus fuscipes (Goeze, 1777);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0755;MOU;1810;0;1;ad;NA;female;0.124;taxref;Calathus fuscipes;8782;Espece;Calathus fuscipes (Goeze, 1777);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0755;MOU;1810;0;1;ad;NA;female;0.04;taxref;Cymindis abeillei;9167;Espece;Cymindis abeillei Jeannel, 1942;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0755;MOU;1810;0;1;ad;NA;male;0.025;taxref;Cymindis abeillei;9167;Espece;Cymindis abeillei Jeannel, 1942;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0755;MOU;1810;0;1;ad;NA;male;0.028;taxref;Cymindis abeillei;9167;Espece;Cymindis abeillei Jeannel, 1942;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0755;MOU;1810;0;1;ad;NA;male;0.03;taxref;Cymindis abeillei;9167;Espece;Cymindis abeillei Jeannel, 1942;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0755;MOU;1810;0;1;ad;NA;male;0.069;taxref;Poecilus sericeus;222547;Espece;Poecilus sericeus Fischer von Waldheim, 1824;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0766;MOU;1940;0;1;ad;NA;male;0.053;taxref;Calathus fuscipes;8782;Espece;Calathus fuscipes (Goeze, 1777);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0766;MOU;1940;0;1;ad;NA;male;0.085;taxref;Calathus fuscipes;8782;Espece;Calathus fuscipes (Goeze, 1777);Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0766;MOU;1940;0;1;ad;NA;female;0.598;taxref;Carabus problematicus;8428;Espece;Carabus problematicus Herbst, 1786;Carabidae;Coleoptera;Insecta;Arthropoda
barber;6;ANI-21-0766;MOU;1940;0;1;ad;NA;male;NA;taxref;Nemesia congener;233914;Espece;Nemesia congener O. Pickard-Cambridge, 1874;Nemesiidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0766;MOU;1940;0;1;ad;NA;female;NA;taxref;Zelotes petrensis;1207;Espece;Zelotes petrensis (C.L. Koch, 1839);Gnaphosidae;Araneae;Arachnida;Arthropoda
barber;6;ANI-21-0777;MOU;2160;0;1;ad;NA;female;0.093;taxref;Calathus fuscipes;8782;Espece;Calathus fuscipes (Goeze, 1777);Carabidae;Coleoptera;Insecta;Arthropoda
