Name in Drilobase 2019;Sub-species in Bouch‚ 1972;Variety in Bouch‚ 1972;Male_pore;Female_pore;Clitellum_start;Clitellum_end;Puberculum_start;Puberculum_end;Heart_type;Heart_start;Heart_end;Morren_gland_start;Morren_gland_end;Morren_gland_diverticules;Crop_start;Crop_end;Ovisac;Oesophagian_gizzard_start;Oesophagian_gizzard_end;Typhlosole_start;Typhlosole_type;Min_length;Max_length;Min_diameter;Max_diameter;Min_weight;Max_weight;Shape;Flattening;Epithelium flexibility;Pigmentation;Body wall;Muscle structure of body wall;Nephridia
Orodrilus doderoi (Cognetti de Martiis, 1904);;;15;14;25;30;26;29;moniliforme;6;11;10;44;bilobated in 10;15;16;weakly developed;17;18;22;cylindrique;60;70;2;3;300;350;cylindrique;clitellien et caudal;souple;rouge-rosƒtre;mince;longitudinale penn‚;ent‚riformes
Proctodrilus antipai antipai (Michaelsen, 1891);antipai;;15;14;25;33;30;31;moniliforme;7;11;10;14;absent;15;16;present;17;18;20;massif;50;60;2;4;100;200;cylindrique;aucun;souple;rosƒtre;mince;longitudinale pavimenteux;ent‚riformes
Proctodrilus antipai vogesianus (T‚try, 1938);vogesiana;;15;14;25;33;30;32;moniliforme;7;11;10;14;absent;15;16;present;17;18;20;massif;40;50;;;120;200;cylindrique;aucun;souple;rosƒtre;mince;longitudinale pavimenteux;ent‚riformes
Proctodrilus antipai tuberculatus (Cernosvitov, 1935);tuberculata;;15;14;25;33;30;32;moniliforme;7;11;10;14;absent;15;16;present;17;18;20;massif;50;60;2;4;100;200;cylindrique;aucun;souple;rosƒtre;mince;longitudinale pavimenteux;ent‚riformes
Prosellodrilus (Pyrenodrilus) alatus Bouche, 1972;;;15;14;19;27;20;24;moniliforme;6;11;11;13;absent;15;16;well developed;17;18;21;bifide (2 lamelles);40;60;2;3;300;370;cylindrique;clitellien;souple;rosƒtre;faible;longitudinale ‚l‚mentaire;ent‚riformes
Prosellodrilus (Kenleenus) amplisetosus amplisetosus Bouche, 1972;amplisetosus;;15/16;14;19;28;19;22;moniliforme;7;11;absent;absent;absent;14;16;absent;17;18;21;bifide (2 lamelles);40;60;1,5;2;150;180;cylindrique;aucun;souple;rosƒtre;moyenne;longitudinale ‚l‚mentaire;ent‚riformes
Prosellodrilus (Kenleenus) amplisetosus hexathecosus Bouche, 1972;hexathecosus;;15/16;14;19;27;19;22;moniliforme;7;11;absent;absent;absent;14;16;absent;17;18;21;bifide (2 lamelles);40;60;1,5;2;150;180;cylindrique;aucun;souple;rosƒtre;moyenne;longitudinale ‚l‚mentaire;ent‚riformes
Prosellodrilus (Pyrenodrilus) biauriculatus Bouche, 1972;;;15;14;19;27;22;24;moniliforme;6;11;11;14;absent;15;16;present;17;18;23;bifide (2 lamelles);35;55;1,5;2;150;250;cylindrique;clitellien;souple;aucune;moyenne;longitudinale ‚l‚mentaire;ent‚riformes
Prosellodrilus (Prosellodrilus) biserialis (Bouche, 1972);biserialis;;15;14;20;28;21;23;moniliforme;6;11;11;14;absent;15;16;absent;17;18;21;bifide (2 lamelles);60;110;2;3;450;550;cylindrique;aucun;souple;aucune;faible;longitudinale ‚l‚mentaire;ent‚riformes
Prosellodrilus (Pyrenodrilus) fragilis Bouche, 1972;elusatus;;15;14;20;28;21;23;moniliforme;6;11;11;14;absent;15;16;absent;17;18;21;bifide (2 lamelles);60;110;2;3;450;550;cylindrique;aucun;souple;aucune;faible;longitudinale ‚l‚mentaire;ent‚riformes
Prosellodrilus (Pyrenodrilus) fragilis Bouche, 1972;fragilis;;15;14;20;28;21;23;moniliforme;6;11;11;14;absent;15;16;absent;17;18;21;bifide (2 lamelles);60;110;2;3;450;550;cylindrique;aucun;souple;aucune;faible;longitudinale ‚l‚mentaire;ent‚riformes
Prosellodrilus (Pyrenodrilus) fragilis Bouche, 1972;polythecosus;;15/16;14;19;22;21;22;moniliforme;6;11;11;14;absent;15;16;absent;17;18;21;bifide (2 … 3 lamelles);60;110;2;3;450;550;cylindrique;aucun;souple;aucune;faible;longitudinale ‚l‚mentaire;ent‚riformes
Prosellodrilus (Prosellodrilus) idealis Bouche, 1972;;;15;14;19;27;22;24;moniliforme;6;11;11;14;absent;15;16;well developed;17;18;22;bifide (2 lamelles);70;90;1;1,5;160;270;cylindrique;clitellien;souple;rose;faible;longitudinale ‚l‚mentaire;ent‚riformes
Prosellodrilus (Prosellodrilus) praticola Bouche, 1972;;;15;14;20;30;25;28;moniliforme;6;11;11;14;unilobated in 11;15;16;well developed;17;18;d‚butant graduellement;bifide (2 lamelles);70;100;2;3;300;400;cylindrique;clitellien faible;souple;rosƒtre;mince;longitudinale ‚l‚mentaire;ent‚riformes
Prosellodrilus (Pyrenodrilus) pyrenaicus (Michaelsen, 1925);;;15;14;20;27;23;26;moniliforme;6;11;11;14;absent;15;16;present;17;18;d‚butant graduellement;bifide (2 lamelles);80;120;3;4;600;1800;cylindrique;aucun;souple;aucune;moyenne;longitudinale ‚l‚mentaire;ent‚riformes
Satchellius mammalis (Savigny, 1826);;;15;14;31;36;33;34;moniliforme;7;11;10;14;bilobated in 10;15;16;well developed;17;18;19;penn‚;32;41;1,5;2;87;105;cylindrique;clitellien et caudal;souple;iris‚ pourpre;‚paisse;longitudinale penn‚;ent‚riformes
Scherotheca (Scherotheca) aquitania (Bouche, 1972);aquitania;;15;14;28;44;32;43;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;19;25;penn‚;260;320;6;8;10000;14000;cylindrique;clitellien et caudal;rigide;iris‚ brun fonc‚;moyenne;longitudinale penn‚;ent‚riforme
Scherotheca (Rosanus) brevisella (Bouche 1972);brevisella;;15;14;27;37;30;37;moniliforme;7;11;10;14;4-lobated in 10;15;16;present;17;20;27;penn‚;250;350;8;12;8000;16000;cylindrique;clitellien et caudal;rigide;iris‚ brin fonc‚;moyenne;longitudinale penn‚;
Scherotheca (Opothedrilus) chicharia (Bouche 1972);chicharia;;15;14;32;52;39;45;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;19;25;penn‚;350;630;15;20;32000;86000;cylindrique;caudal;rigide;iris‚ brun-noir;‚paisse;longitudinale radiaire;ent‚riformes
Scherotheca (Scherotheca) coineaui Bouche, 1972;;;15;14;31;39;29;39;moniliforme;6;11;10;14;rudimentary in 10;15;16;present;17;19;25;penn‚;250;250;6,5;8;6100;6100;cylindrique;aucun;rigide;iris‚ brun fonc‚;;;ent‚riformes
Scherotheca (Corsicadrilus) corsicana (Pop, 1947);albomaculata;;15;14;27;37;30;38;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;21;25;penn‚;130;320;5;7;2000;3500;cylindrique;caudal faible;souple;brun trŠs fonc‚;‚paisse;longitudinale radiaire;ent‚riformes
Scherotheca (Corsicadrilus) corsicana (Pop, 1947);corsicana;;15;14;27;36;31;34;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;21;25;penn‚;90;140;5;7;2000;3500;cylindrique;caudal faible;souple;brun-noirƒtre;‚paisse;longitudinale penn‚;ent‚riformes
Scherotheca (Scherotheca) dinoscolex (Bouche, 1972);dinoscolex;;15;14;28;48;33;43;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;20;26;penn‚;550;800;12;15;42000;48000;cylindrique;clitellien;rigide;iris‚ brun;‚paisse;longitudinale interm‚diaire;ent‚riforme
Scherotheca (Rosanus) dugesi (Rosa, 1895);dugesi;;15;14;27;39;29;37;moniliforme;7;11;10;14;4-lobated in 10;15;16;present;17;20;27;penn‚;250;350;8;12;8000;16000;cylindrique;clitellien et caudal;rigide;iris‚ brin fonc‚;moyenne;longitudinale interm‚diaire;ent‚riformes
Scherotheca (Scherotheca) mifuga (Bouche, 1972);mifuga;;15;14;32;47;37;45;moniliforme;6;11;10;13;bilobated in 10;15;16;well developed;17;20;26;penn‚;160;300;5;8;6000;9000;cylindrique;clitellien et caudal;rigide;iris‚ brun fonc‚;‚paisse;longitudinale penn‚;ent‚riformes
Scherotheca (Opothedrilus) minor (Stephenson, 1932);minor;;15;14;33;43;33;38;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;21;26;penn‚;205;250;5;8;4000;4000;cylindrique;caudal;rigide;brun clair-grisƒtre;‚paisse;longitudinale penn‚;ent‚riformes
Scherotheca (Scherotheca) monspessulensis idica Bouche, 1972;idica;;;;;;;;;;;;;;;;;;;;;300;450;;;18000;25000;;;;brun fonc‚;;;
Scherotheca (Scherotheca) monspessulensis monspessulensis Bouche, 1972;monspessulensis;;15;14;36;57;43;54;moniliforme;6;11;10;14;rudimentary in 10;15;16;well developed;17;19;25;penn‚;500;800;10;12;25000;37000;cylindrique;clitellien et caudal;rigide;iris‚ brun-noir;moyenne;longitudinale penn‚;ent‚riformes
Scherotheca (Opothedrilus) nivicola (Bouche, 1972);nivicola;;15;14;31;44;34;39;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;21;26;penn‚;400;520;7;10;14;17;cylindrique;caudal;rigide;iris‚ brun fonc‚;‚paisse;longitudinale interm‚diaire;ent‚riformes
Scherotheca (Scherotheca) orbiensis (Bouche, 1972);orbiensis;;15;14;37;51;42;51;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;20;26;penn‚;300;400;7;10;9000;14000;cylindrique;caudal;rigide;iris‚ brun fonc‚;moyenne;longitudinale interm‚diaire;ent‚riformes
Scherotheca (Rosanus) porotheca (Bouche, 1972);porotheca;;15;14;26;41;29;34;moniliforme;7;11;10;14;4-lobated in 10;15;16;present;17;20;27;penn‚;250;350;8;12;8000;16000;cylindrique;clitellien et caudal;rigide;iris‚ brin fonc‚;‚paisse/moyenne;longitudinale penn‚;
Scherotheca (Scherotheca) rhodana (Bouche, 1972);rhodana;;15;14;27;42;32;41;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;18;26;penn‚;350;450;8;13;8000;17000;cylindrique;clitellien et caudal;rigide;iris‚ brun fonc‚;moyenne;longitudinale interm‚diaire;ent‚riforme
Scherotheca (Opothedrilus) savignyi (Guerne and Horst, 1893);savignyi;;15;14;31;44;34;39;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;21;26;penn‚;400;520;7;10;14;17;cylindrique;caudal;rigide;iris‚ brun fonc‚;‚paisse;longitudinale penn‚;ent‚riformes
Zophoscolex (Zophoscolex) atlanticus (Bouche, 1969);;;15;14;22;30;27;29;moniliforme;6;11;11;14;bilobated in 11;15;16;well developed;17;19;20;bifide;100;170;2,5;6;900;2100;cylindrique;aucun;souple;gris-br–natre;‚paisse;longitudinale penn‚;ent‚riformes
Zophoscolex (Zophoscolex) graffi (Bouche, 1972);;;15;14;20;35;29;33;moniliforme;6;11;11;14;lobated in 11;15;16;present;17;18;24;bifide;115;135;2,5;3,5;900;1200;cylindrique;clitellien;souple;rosƒtre;moyenne;longitudinale pavimenteux;ent‚riformes
Zophoscolex (Zophoscolex) micellus (Bouche, 1972);;;15;14;20;35;29;31;moniliforme;6;11;11;14;bilobated in 11;15;16;present;17;18;21;bifide;90;120;3,5;4;700;1200;cylindrique;aucun;souple;rosƒtre;;;
Amynthas indicus (Horst, 1885) ;;;18;14;14;16;absent;absent;simple;10;12;absent;absent;absent;absent;absent;weakly developed;present;present;nd;reduit, 1 lame;60;160;3;5;800;1200;cylindrique;aucun;rigide;iris‚ vert fonc‚;moyenne;longitudinale pavimenteux;m‚tan‚phridies
